If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
WeChat's competitor to Slack has arrived,WeChat's world,"How I built an app with 500,000 users in 5 days on a $100 server","Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic",Acquia Engage Awards Finalists Announced,Cross-channel user experiences with Drupal
Firebase and Google Cloud: better together,Google lags behind Amazon and Microsoft's cloud in one important area,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,It's The Future
Santander Vies to Become First Bank to Issue Cash on Blockchain - CoinDesk,Quick Tip: Working with the JavaScript Battery API,"A whole new GitHub Universe: announcing new tools, forums, and features",Comparing React.js to Vue.js for dynamic tabular data,Building Flipkart Lite: A Progressive Web App,CMN regulamenta abertura de conta de depósito por meio eletrônico
JavaServer Faces 2.3 Quick Reference - DZone Java,Graph Capabilities with the Elastic Stack,Eclipse Foundation Releases Neon,Plano nacional de ''internet das coisas'' sai em fevereiro,Lists are the new search,Código Google: Introdução da próxima geração do Google Tag Manager e do Tag Manager 360 para Mobile Apps
Graduação já não garante uma carreira de sucesso em TI - CIO,Dark Scrum,Alecrim/AlecrimCoreData,New MacBook Pro is not a Laptop for Developers Anymore,Will blockchain drive the fourth Industrial Revolution?,Joel on Software
Accenture amplia atuação no Brasil,You won't recognize the new world of digital payments without this report,Nubank pode fechar as portas se BC confirmar mudança amanhã,Can Accenture Take Over Advertising?,Visa lança desafio para startups de tecnologia - Startupi,Bradesco vai lançar novo banco digital: o Next.
Java Microservices: The Cake is a Lie but You Can't Ignore It | Takipi Blog,Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",Elastic Stack 5.0.0 Released,Chrome OS now has Material Design for the desktop,You don't talk about refactoring club
Front in BH 2016,How One Jira Ticket Made My Employer $1MM/Month: 7 Metrics that Actually Matter - JavaScript Scene,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",Python Is Not Java (dirtSimple.org),Design Better Forms - uxdesign.cc - User Experience Design,Promises | Web Fundamentals - Google Developers
Abrimos uma conta no Original.,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,Nubank e Goldman fecham parceria de R$ 200 milhões,Mobile Time,Nubank começa a testar seu programa de fidelidade - Empresas Tech,CMN regulamenta abertura de conta de depósito por meio eletrônico
Itaú Unibanco fecha compra de ativos de varejo do Citi no Brasil,Abrimos uma conta no Original.,Nubank começa a testar seu programa de fidelidade - Empresas Tech,"Em 2017 será possível ignorar totalmente o cartão físico, garante Itaú",Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,Engineering Digital Banking Solutions Using UX Methodology
Nova regra do Banco Central pode significar o fim do Nubank; entenda - IDG Now!,The Continuous Delivery Maturity Model,Using Honcho to Create a Multi-Process Docker Container,DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO,"DevOps security requires new mindset and tools for visibility, automation",Jenkins 2.0 is here!
Workshop de Design Thinking - Unicamp,Most Interesting APIs in 2016: Cognitive Computing,"Docker - Build, Ship, and Run Any App, Anywhere",Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,Hacked Website Report - 2016/Q3,Visa lança desafio para startups de tecnologia - Startupi
"Life Coach vs. Therapist, Learn the Difference | Tony Robbins",O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Qual é o valor da área de T&D na sua empresa?,Investimentos em coaching e mentoring aumentam nas empresas,O que você deve fazer para se tornar um líder melhor?,What Science Tells Us About Leadership Potential
Wide & Deep Learning: Better Together with TensorFlow,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",The AI business landscape,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning","Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab
Liberty vai adotar telemetria e baratear seguro para bons motoristas,The new tech talent you need to succeed in digital,Mobile Time,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,6 exemplos de como usar computação cognitiva | EXAME.com
Top 15 Facebook Open Source Projects You Must Know,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Mobify report reveals impact of mobile website speed,Things you probably didn't know you could do with Chrome's Developer Console,Scrum Community - Scrum Alliance
Combining Spring Boot and JDBI,"Kotlin in Production - What works, Whats broken",Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,Introducing Kotlin support in Spring Framework 5.0,Building Spring Cloud Microservices That Strangle Legacy Systems,"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways"
"Zuul 2 : The Netflix Journey to Asynchronous, Non-Blocking Systems",Serverless real-time architecture on AWS: there is a way !,"Building A Modern, Scalable Backend: Modernizing Monolithic Applications",Building Spring Cloud Microservices That Strangle Legacy Systems,Microservices Architecture on Google App Engine,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog"
"An independent organization just ranked Google as the best cloud, beating Amazon",9 Non-Threatening Leadership Strategies for Women,Jury finds Google's implementation of Java in Android was fair use,Top 10 Intranet Trends of 2016,Two Different Sales Motions . . . .,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist
An operating model for company-wide agile development,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",Big IT Rising,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",Top 10 Intranet Trends of 2016,Making open source data more available
Announcing .NET Core 1.0,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,Beyond Progressive Web Apps Part 1,Accidental discovery could help batteries last years longer,Beyond Progressive Web Apps Part 2: We Need to Know What's New,"What do you mean by ""Event-Driven""?"
An overview of web service solutions in Drupal 8,Cross-channel user experiences with Drupal,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,Touch (TV Series 2012-2013),The AI business landscape,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender
The AI business landscape,Why Google App Engine rocks: A Google engineer's take,"Hello, TensorFlow!",Text summarization with TensorFlow,"Amazon open-sources its own deep learning software, DSSTNE",Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab
Inbox by Gmail ganha formatação de texto | Google Discovery,"Google launches Springboard, an AI-powered assistant for its enterprise customers",Touch (TV Series 2012-2013),"Hello, a nova rede social do Orkut, está liberada no Brasil",Here's proof that Google is getting serious about battling Facebook in a key area,"Secret's founder returns with Bold, a Medium for enterprise"
Good developers take breaks * Greetings Programs,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,"Little girls doubt that women can be brilliant, study shows",Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,Introducing Ask a Female Engineer,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture
7 Tips to Create a Company Learning Culture like Google - Without Resources,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Effective learning through code workshops | Box Blog,The Business Case for Progressive Web Apps,You don't talk about refactoring club,Creating Your Code Review Checklist - DaedTech
Beyond Progressive Web Apps Part 2: We Need to Know What's New,Beyond Progressive Web Apps Part 1,Serverless Data Sync in Web Apps with Bit Torrent,Programming by poking: why MIT stopped teaching SICP,Announcing .NET Core 1.0,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR"
Stackdriver Debugger now works with source code directly in GitHub and Bitbucket,StrictMode for Runtime Analysis on Android - Google Developers,LPIC-OT DevOps Engineer | Linux Professional Institute,Advanced Android Espresso,Post: Just Say mNo to Hungarian Notation,"Fresco, sim! - Android Dev BR"
Bring Your App To Life with CALayers,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Building interfaces with ConstraintLayout - Google Developers,Twitter faz atualização em seu aplicativo Fabric para trazer mais funcionalidades às empresas e aos desenvolvedores de apps - Startupi,Android Studio 2.2,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub
Grupo de bancos adere à tecnologia do bitcoin em transações,"Em 2017 será possível ignorar totalmente o cartão físico, garante Itaú",Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js,Microsoft's Open Source Love Affair Reaches New Heights,Kotlin no Backend (Parte 2) :: Concrete Solutions,"Agile is Dead, Long Live Continuous Delivery - Gradle"
Shopping app Spring's redesign could be a game-changer,Making open source data more available,Here's proof that Google is getting serious about battling Facebook in a key area,"No, Apple isn't the next BlackBerry - it's the next Microsoft",The barbell effect of machine learning.,Pinterest's Real-World Pins Let In-Store Shoppers Save Real Items to Virtual Boards
Assessing Salesforce's platform and ecosystem | ZDNet,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,The economic essentials of digital strategy,Acquia Engage Awards Finalists Announced,How bot-to-bot could soon replace APIs,"No Brasil, '25% dos celulares ainda são 'Burrofones'"
